pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,real_spread,3_scale_bias,5_scale_bias,3_scale_bias_num,5_scale_bias_num,respondent_type_num,year,month_start,day_start,month_end,day_end
NBC,2016-10-30,2016-11-01,AZ,719,LV,46.0,41.0,3.7,5.0,3.5,pro-democratic,likely pro-democratic,-1,-1,1,2016,10,30,11,1
CNN,2016-10-27,2016-11-01,AZ,769,LV,51.0,46.0,3.5,5.0,3.5,pro-democratic,strongly pro-democratic,-1,-2,1,2016,10,27,11,1
Emerson,2016-10-28,2016-10-31,AZ,700,LV,47.0,43.0,3.6,4.0,3.5,independent,independent,0,0,1,2016,10,28,10,31
CBS News,2016-10-26,2016-10-28,AZ,994,LV,44.0,42.0,4.3,2.0,3.5,pro-democratic,likely pro-democratic,-1,-1,1,2016,10,26,10,28
Landmark,2016-11-06,2016-11-06,GA,1200,LV,49.0,46.0,2.8,3.0,5.100000000000001,pro-republican,likely pro-republican,1,1,1,2016,11,6,11,6
Trafalgar Group (R),2016-11-06,2016-11-06,GA,1250,LV,52.0,45.0,2.8,7.0,5.100000000000001,pro-republican,strongly pro-republican,1,2,1,2016,11,6,11,6
Opinion Savvy,2016-11-02,2016-11-03,GA,538,LV,49.0,45.0,4.2,4.0,5.100000000000001,independent,independent,0,0,1,2016,11,2,11,3
NBC,2016-10-30,2016-11-01,GA,707,LV,47.0,46.0,3.7,1.0,5.100000000000001,pro-democratic,likely pro-democratic,-1,-1,1,2016,10,30,11,1
Emerson,2016-10-29,2016-10-31,GA,650,LV,51.0,42.0,3.8,9.0,5.100000000000001,independent,independent,0,0,1,2016,10,29,10,31
Trafalgar Group (R),2016-11-06,2016-11-06,MI,1200,LV,49.0,47.0,2.8,2.0,0.2999999999999971,pro-republican,strongly pro-republican,1,2,1,2016,11,6,11,6
Gravis,2016-11-01,2016-11-04,MI,1079,RV,41.0,46.0,3.0,-5.0,0.2999999999999971,independent,independent,0,0,0,2016,11,1,11,4
FOX 2 Detroit,2016-11-03,2016-11-03,MI,1007,LV,45.0,50.0,3.1,-5.0,0.2999999999999971,pro-republican,likely pro-republican,1,1,1,2016,11,3,11,3
PPP (D),2016-11-03,2016-11-04,MI,957,LV,44.0,50.0,3.2,-6.0,0.2999999999999971,pro-democratic,strongly pro-democratic,-1,-2,1,2016,11,3,11,4
Detroit Free Press,2016-11-01,2016-11-03,MI,600,LV,38.0,42.0,4.0,-4.0,0.2999999999999971,independent,independent,0,0,1,2016,11,1,11,3
NY Times,2016-11-04,2016-11-06,NC,800,LV,44.0,44.0,3.5,0.0,3.5999999999999943,pro-democratic,strongly pro-democratic,-1,-2,1,2016,11,4,11,6
Quinnipiac,2016-11-03,2016-11-06,NC,870,LV,45.0,48.0,3.3,-3.0,3.5999999999999943,pro-democratic,likely pro-democratic,-1,-1,1,2016,11,3,11,6
