pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,3_scale_bias,5_scale_bias,3_scale_bias_num,5_scale_bias_num,respondent_type_num,year,month_start,day_start,month_end,day_end
InsiderAdvantage,2024-11-01,2024-11-02,AZ,800,LV,49.0,46.0,3.0,3.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,1,11,2
NY Times,2024-10-25,2024-11-02,AZ,1025,LV,49.0,45.0,3.25,4.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,25,11,2
Atlas Intel,2024-11-01,2024-11-02,AZ,967,LV,52.0,46.0,3.0,6.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Noble Predictive Insights,2024-10-28,2024-10-30,AZ,775,LV,48.0,47.0,3.5,1.0,independent,independent,0.0,0.0,1,2024,10,28,10,30
Rasmussen Reports,2024-10-25,2024-10-29,AZ,803,LV,48.0,46.0,3.0,2.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,29
Data Orbital,2024-10-26,2024-10-28,AZ,550,LV,50.0,42.0,4.3,8.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,26,10,28
Trafalgar Group (R),2024-10-24,2024-10-26,AZ,1094,LV,48.0,46.0,2.9,2.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,26
Morning Consult,2024-10-20,2024-10-29,AZ,803,LV,48.0,48.0,3.25,0.0,,,,,1,2024,10,20,10,29
CNN,2024-10-21,2024-10-26,AZ,781,LV,47.0,48.0,4.4,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,21,10,26
Marist,2024-10-17,2024-10-22,AZ,1193,LV,50.0,49.0,3.7,1.0,independent,independent,0.0,0.0,1,2024,10,17,10,22
The Hill,2024-10-24,2024-10-29,GA,800,LV,50.0,49.0,3.4,1.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
NY Times,2024-10-24,2024-11-02,GA,1004,LV,47.0,48.0,3.4,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,24,11,2
InsiderAdvantage,2024-11-02,2024-11-03,GA,800,LV,49.0,48.0,3.7,1.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,2,11,3
Atlas Intel,2024-11-01,2024-11-02,GA,1174,LV,50.0,48.0,3.0,2.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Rasmussen Reports,2024-10-25,2024-10-28,GA,910,LV,51.0,46.0,3.0,5.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,28
CNN,2024-10-23,2024-10-28,GA,732,LV,48.0,47.0,4.7,1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,23,10,28
Trafalgar Group (R),2024-10-24,2024-10-26,GA,1087,LV,48.0,46.0,2.9,2.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,26
Morning Consult,2024-10-20,2024-10-29,GA,957,LV,50.0,48.0,3.4,2.0,,,,,1,2024,10,20,10,29
Marist,2024-10-17,2024-10-22,GA,1193,LV,49.0,49.0,3.9,0.0,independent,independent,0.0,0.0,1,2024,10,17,10,22
AmGreatness,2024-10-14,2024-10-16,GA,813,LV,49.0,48.0,3.5,1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,14,10,16
