pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread
The Hill,2024-10-24,2024-10-29,GA,800,LV,50.0,49.0,3.4,1.0
NY Times,2024-10-24,2024-11-02,GA,1004,LV,47.0,48.0,3.4,-1.0
InsiderAdvantage,2024-11-02,2024-11-03,GA,800,LV,49.0,48.0,3.7,1.0
Atlas Intel,2024-11-01,2024-11-02,GA,1174,LV,50.0,48.0,3.0,2.0
Rasmussen Reports,2024-10-25,2024-10-28,GA,910,LV,51.0,46.0,3.0,5.0
CNN,2024-10-23,2024-10-28,GA,732,LV,48.0,47.0,4.7,1.0
Trafalgar Group (R),2024-10-24,2024-10-26,GA,1087,LV,48.0,46.0,2.9,2.0
Morning Consult,2024-10-20,2024-10-29,GA,957,LV,50.0,48.0,3.4,2.0
Marist,2024-10-17,2024-10-22,GA,1193,LV,49.0,49.0,3.9,0.0
AmGreatness,2024-10-14,2024-10-16,GA,813,LV,49.0,48.0,3.5,1.0
Quinnipiac,2024-10-10,2024-10-14,GA,1328,LV,52.0,46.0,2.7,6.0
