pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread
The Hill,2024-10-24,2024-10-29,NC,860,LV,49.0,48.0,3.3,1.0
East Carolina U.,2024-10-24,2024-10-29,NC,1250,LV,50.0,48.0,3.0,2.0
NY Times,2024-10-28,2024-11-02,NC,1010,LV,46.0,48.0,3.3,-2.0
InsiderAdvantage,2024-11-01,2024-11-02,NC,800,LV,49.0,47.0,3.4,2.0
Atlas Intel,2024-11-01,2024-11-02,NC,1310,LV,51.0,47.0,3.0,4.0
Rasmussen Reports,2024-10-25,2024-10-28,NC,849,LV,50.0,47.0,3.0,3.0
Morning Consult,2024-10-22,2024-10-31,NC,866,LV,49.0,47.0,3.3,2.0
Trafalgar Group (R),2024-10-25,2024-10-28,NC,1091,LV,49.0,46.0,2.9,3.0
FOX News,2024-10-24,2024-10-28,NC,872,LV,50.0,49.0,3.0,1.0
CNN,2024-10-23,2024-10-28,NC,750,LV,47.0,48.0,4.5,-1.0
WRAL-TV,2024-10-23,2024-10-26,NC,853,LV,47.0,47.0,4.1,0.0
Marist,2024-10-17,2024-10-22,NC,1226,LV,50.0,48.0,3.6,2.0
UMass Lowell,2024-10-16,2024-10-23,NC,650,LV,47.0,45.0,4.2,2.0
