pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread
NY Times,2024-10-24,2024-11-02,NV,1010,LV,46.0,49.0,4.0,-3.0
Atlas Intel,2024-11-01,2024-11-02,NV,782,LV,52.0,46.0,4.0,6.0
Noble Predictive Insights,2024-10-28,2024-10-31,NV,593,LV,48.0,49.0,4.0,-1.0
Susquehanna,2024-10-28,2024-10-31,NV,400,LV,50.0,44.0,4.9,6.0
Emerson,2024-10-29,2024-10-31,NV,700,LV,47.0,48.0,3.6,-1.0
Rasmussen Reports,2024-10-25,2024-10-28,NV,767,LV,49.0,47.0,3.0,2.0
Trafalgar Group (R),2024-10-25,2024-10-28,NV,1082,LV,48.0,48.0,2.9,0.0
CNN,2024-10-21,2024-10-26,NV,683,LV,48.0,47.0,4.6,1.0
InsiderAdvantage,2024-10-20,2024-10-21,NV,800,LV,48.0,48.0,3.5,0.0
Bloomberg,2024-10-16,2024-10-20,NV,449,LV,48.0,49.0,5.0,-1.0
Fabrizio,2024-10-08,2024-10-15,NV,600,LV,49.0,47.0,4.0,2.0
