pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread
The Hill,2024-10-24,2024-10-29,PA,1000,LV,49.0,48.0,3.0,1.0
NY Times,2024-10-29,2024-11-02,PA,1527,LV,48.0,48.0,3.1,0.0
Trafalgar Group (R),2024-11-01,2024-11-03,PA,1089,LV,48.0,47.0,2.9,1.0
Atlas Intel,2024-11-01,2024-11-02,PA,2049,LV,50.0,48.0,2.0,2.0
InsiderAdvantage,2024-11-01,2024-11-02,PA,800,LV,49.0,48.0,3.5,1.0
Muhlenberg College,2024-10-27,2024-10-30,PA,469,LV,47.0,49.0,6.0,-2.0
USA Today,2024-10-27,2024-10-30,PA,500,LV,49.0,49.0,4.4,0.0
Marist,2024-10-27,2024-10-30,PA,1400,LV,48.0,50.0,3.1,-2.0
Washington Post,2024-10-26,2024-10-30,PA,1204,LV,47.0,48.0,3.1,-1.0
Rasmussen Reports,2024-10-25,2024-10-28,PA,849,LV,49.0,47.0,3.0,2.0
Morning Consult,2024-10-21,2024-10-30,PA,1028,LV,48.0,48.0,3.1,0.0
FOX News,2024-10-24,2024-10-28,PA,1057,LV,50.0,49.0,3.0,1.0
Quinnipiac,2024-10-24,2024-10-28,PA,2186,LV,49.0,47.0,2.1,2.0
CNN,2024-10-23,2024-10-28,PA,819,LV,48.0,48.0,4.7,0.0
CBS News,2024-10-22,2024-10-28,PA,1273,LV,49.0,49.0,3.9,0.0
AmGreatness,2024-10-22,2024-10-26,PA,600,LV,47.0,47.0,4.0,0.0
Susquehanna,2024-10-18,2024-10-22,PA,500,LV,46.0,46.0,4.4,0.0
