pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread
The Hill,2024-10-24,2024-10-29,WI,800,LV,49.0,49.0,3.4,0.0
NY Times,2024-10-25,2024-11-02,WI,1305,LV,47.0,49.0,3.4,-2.0
InsiderAdvantage,2024-11-01,2024-11-02,WI,800,LV,49.0,48.0,3.4,1.0
Trafalgar Group (R),2024-11-01,2024-11-03,WI,1086,LV,47.0,48.0,2.9,-1.0
Atlas Intel,2024-11-01,2024-11-02,WI,728,LV,50.0,49.0,4.0,1.0
Marist,2024-10-27,2024-10-30,WI,1330,LV,48.0,50.0,3.4,-2.0
Rasmussen Reports,2024-10-25,2024-10-29,WI,818,LV,50.0,47.0,3.0,3.0
AmGreatness,2024-10-28,2024-10-30,WI,831,LV,48.0,48.0,3.5,0.0
Morning Consult,2024-10-21,2024-10-30,WI,809,LV,48.0,48.0,3.4,0.0
CNN,2024-10-23,2024-10-28,WI,736,LV,45.0,51.0,4.8,-6.0
USA Today,2024-10-20,2024-10-23,WI,500,LV,48.0,47.0,4.4,1.0
Marquette,2024-10-16,2024-10-24,WI,753,LV,49.0,50.0,4.4,-1.0
Quinnipiac,2024-10-17,2024-10-21,WI,1108,LV,48.0,48.0,2.9,0.0
